48,Surah Al-Fath,Kemenangan,29,Madinah,111
49,Surah Al-Hujurat,Kamar-kamar,18,Madinah,106
50,Surah Qaf,Qaaf,45,Mekkah,34
51,Surah Az-Zariyat,Angin yang menerbangkan,60,Mekkah,67
52,Surah At-Tur,Bukit,49,Mekkah,76
53,Surah An-Najm,Bintang,62,Mekkah,23
54,Surah Al-Qamar,Bulan,55,Mekkah,37
55,Surah Ar-Rahman,Yang Maha Pemurah,78,Madinah & Mekkah,97
56,Surah Al-Waqi’ah,Hari Kiamat,96,Mekkah,46
57,Surah Al-Hadid,Besi,29,Madinah,94
58,Surah Al-Mujadilah,Wanita yang mengajukan gugatan,22,Madinah,105
59,Surah Al-Hasyr,Pengusiran,24,Madinah,101
60,Surah Al-Mumtahanah,Wanita yang diuji,13,Madinah,91
61,Surah As-Saff,Satu barisan,14,Madinah,109
62,Surah Al-Jumu’ah,Hari Jum’at,11,Madinah,110
63,Surah Al-Munafiqun,Orang-orang yang munafik,11,Madinah,104
64,Surah At-Tagabun,Hari dinampakkan kesalahan-kesalahan,18,Madinah,108
65,Surah At-Talaq,Talak,12,Madinah,99
66,Surah At-Tahrim,Mengharamkan,12,Madinah,107
67,Surah Al-Mulk,Kerajaan,30,Mekkah,77
68,Surah Al-Qalam,Pena,52,Mekkah,2
69,Surah Al-Haqqah,Hari kiamat,52,Mekkah,78
70,Surah Al-Ma’arij,Tempat naik,44,Mekkah,79
71,Surah Nuh,Nuh,28,Mekkah,71
72,Surah Al-Jinn,Jin,28,Mekkah,40
73,Surah Al-Muzzammil,Orang yang berselimut,20,Mekkah,3
74,Surah Al-Muddassir,Orang yang berkemul,56,Mekkah,4
75,Surah Al-Qiyamah,Hari Kiamat,40,Mekkah,31
76,Surah Al-Insan,Manusia,31,Madinah,98
77,Surah Al-Mursalat,Malaikat-Malaikat Yang Diutus,50,Mekkah,33
78,Surah An-Naba’,Berita besar,40,Mekkah,80
79,Surah An-Nazi’at,Malaikat-Malaikat Yang Mencabut,46,Mekkah,81
80,Surah 'Abasa,Ia Bermuka masam,42,Mekkah,24
81,Surah At-Takwir,Menggulung,29,Mekkah,7
82,Surah Al-Infitar,Terbelah,19,Mekkah,82
83,Surah Al-Tatfif,Orang-orang yang curang,36,Mekkah,86
84,Surah Al-Insyiqaq,Terbelah,25,Mekkah,83
85,Surah Al-Buruj,Gugusan bintang,22,Mekkah,27
86,Surah At-Tariq,Yang datang di malam hari,17,Mekkah,36
87,Surah Al-A’la,Yang paling tinggi,19,Mekkah,8
88,Surah Al-Gasyiyah,Hari Pembalasan,26,Mekkah,68
89,Surah Al-Fajr,Fajar,30,Mekkah,10
90,Surah Al-Balad,Negeri,20,Mekkah,35
91,Surah Asy-Syams,Matahari,15,Mekkah,26
92,Surah Al-Lail,Malam,21,Mekkah,9
93,Surah Ad-Duha,Waktu matahari sepenggalahan naik (Dhuha),11,Mekkah,11
94,Surah Al-Insyirah,Melapangkan,8,Mekkah,12
95,Surah At-Tin,Buah Tin,8,Mekkah,28
96,Surah Al-'Alaq,Segumpal Darah,19,Mekkah,1
97,Surah Al-Qadr,Kemuliaan,5,Mekkah,25
98,Surah Al-Bayyinah,Pembuktian,8,Madinah,100
99,Surah Az-Zalzalah,Kegoncangan,8,Madinah,93
100,Surah Al-'Adiyat,Berlari kencang,11,Mekkah,14
101,Surah Al-Qari'ah,Hari Kiamat,11,Mekkah,30
102,Surah At-Takasur,Bermegah-megahan,8,Mekkah,16
103,Surah Al-'Asr,Masa/Waktu,3,Mekkah,13
104,Surah Al-Humazah,Pengumpat,9,Mekkah,32
105,Surah Al-Fil,Gajah,5,Mekkah,19
106,Surah Quraisy,Suku Quraisy,4,Mekkah,29
107,Surah Al-Ma’un,Barang-barang yang berguna,7,Mekkah,17
108,Surah Al-Kausar,Nikmat yang berlimpah,3,Mekkah,15
109,Surah Al-Kafirun,Orang-orang kafir,6,Mekkah,18
110,Surah An-Nasr,Pertolongan,3,Madinah,114
111,Surah Al-Lahab,Gejolak Api,5,Mekkah,6
112,Surah Al-Ikhlas,Ikhlas,4,Mekkah,22
113,Surah Al-Falaq,Waktu Subuh,5,Mekkah,20
114,Surah An-Nas,Manusia,6,Mekkah,21
